shiso,13.45,10
ramen noodles,27.25,11
dashi powder,25.55,10
yellow miso,23.85,10
black sesame seeds,37.5,3
dashi kombu,23.85,10
japanese rice,27.25,11
red miso,18.65,10
shoyu,13.45,10
wasabi powder,27.25,10
udon,11.75,10
japanese soy sauce,37.5,10
wasabi,15.15,10
seaweed,16.95,10
gari,11.75,10
rice vinegar,25.55,8
wasabi paste,25.55,10
bonito flakes,27.25,10
miso,11.75,10
soba noodles,25.55,11
soy sauce,20.35,10
dried bonito flakes,40,10
miso paste,22.05,10
rice,11.75,11
white miso,22.05,10
konbu,13.45,10
nori,11.75,10
dashi,13.45,10
sake,11.75,10
mirin,13.45,10
